import time: self [us] | cumulative | imported package
import time:       823 |        823 |             httpx._urlparse
import time:       377 |       5282 |           httpx._urls
import time:       537 |      10929 |         httpx._models
import time:       486 |      15475 |       httpx._auth
import time:       360 |        360 |       httpx._config
import time:       302 |        302 |             httpx._transports.base
import time:       554 |        855 |           httpx._transports.asgi
import time:       413 |        413 |           httpx._transports.default
import time:       280 |        280 |           httpx._transports.mock
import time:       289 |        289 |           httpx._transports.wsgi
import time:       291 |       2127 |         httpx._transports
import time:        14 |       2140 |       httpx._transports.base
import time:       556 |      18529 |     httpx._client
import time:       339 |      18868 |   httpx._api
import time:        36 |         36 |     click
import time:       385 |        421 |   httpx._main
import time:       370 |      20170 | httpx
import time:       655 |        655 |     anyio._core
import time:      1060 |       1715 |   anyio._core._compat
import time:       431 |        431 |       sniffio._version
import time:       269 |        269 |       sniffio._impl
import time:       268 |        967 |     sniffio
import time:       504 |       1471 |   anyio._core._eventloop
import time:       536 |        536 |   anyio._core._exceptions
import time:       547 |        547 |     dataclasses
import time:       657 |        657 |         anyio.abc._resources
import time:       330 |        330 |           anyio._core._typedattr
import time:       443 |        443 |             anyio.abc._tasks
import time:       729 |       1172 |           anyio.abc._streams
import time:       610 |       2111 |         anyio.abc._sockets
import time:       308 |        308 |         anyio.abc._subprocesses
import time:       310 |        310 |         anyio.abc._testing
import time:      1050 |       1050 |           anyio.lowlevel
import time:       404 |        404 |           anyio._core._tasks
import time:      1151 |       1151 |           anyio._core._testing
import time:      1893 |       4496 |         anyio._core._synchronization
import time:        29 |         29 |               _queue
import time:       325 |        353 |             queue
import time:       311 |        663 |           concurrent.futures.thread
import time:       571 |       1234 |         anyio.from_thread
import time:       404 |       9518 |       anyio.abc
import time:       353 |       9871 |     anyio.to_thread
import time:      1021 |      11438 |   anyio._core._fileio
import time:       246 |        246 |   anyio._core._resources
import time:       255 |        255 |   anyio._core._signals
import time:       225 |        225 |       anyio.streams
import time:       878 |       1102 |     anyio.streams.stapled
import time:      2175 |       2175 |     anyio.streams.tls
import time:       561 |       3837 |   anyio._core._sockets
import time:      1040 |       1040 |     anyio.streams.memory
import time:       380 |       1420 |   anyio._core._streams
import time:      2068 |       2068 |   anyio._core._subprocesses
import time:      1201 |      24181 | anyio
import time:       577 |        577 |     httpcore._models
import time:       262 |        262 |             httpcore._backends
import time:       367 |        367 |             httpcore._exceptions
import time:       371 |        371 |             httpcore._utils
import time:       414 |        414 |             httpcore._backends.base
import time:       982 |       2394 |           httpcore._backends.sync
import time:       384 |        384 |                     importlib.resources.abc
import time:       323 |        323 |                     importlib.resources._adapters
import time:       520 |       1226 |                   importlib.resources._common
import time:       288 |        288 |                   importlib.resources._legacy
import time:       236 |       1749 |                 importlib.resources
import time:       625 |       2374 |               certifi.core
import time:       240 |       2613 |             certifi
import time:       248 |       2861 |           httpcore._ssl
import time:       726 |        726 |               trio._version
import time:       326 |        326 |                       attr._compat
import time:       168 |        168 |                         attr._config
import time:       178 |        178 |                           attr.exceptions
import time:       128 |        306 |                         attr.setters
import time:      2207 |       2680 |                       attr._make
import time:       294 |       3299 |                     attr.converters
import time:       124 |        124 |                     attr.filters
import time:     19241 |      19241 |                     attr.validators
import time:       486 |        486 |                     attr._cmp
import time:       291 |        291 |                     attr._funcs
import time:       281 |        281 |                     attr._next_gen
import time:       535 |        535 |                     attr._version_info
import time:       320 |      24574 |                   attr
import time:       693 |        693 |                       async_generator._version
import time:       454 |        454 |                       async_generator._impl
import time:       472 |        472 |                       async_generator._util
import time:       630 |       2247 |                     async_generator
import time:       600 |       2846 |                   trio._util
import time:       511 |      27930 |                 trio._core._exceptions
import time:        38 |         38 |                   tputil
import time:       131 |        131 |                     _ctypes
import time:       752 |        752 |                     ctypes._endian
import time:       817 |       1699 |                   ctypes
import time:      1386 |       3122 |                 trio._core._multierror
import time:       636 |        636 |                 trio._core._ki
import time:       930 |        930 |                     sortedcontainers.sortedlist
import time:       518 |        518 |                     sortedcontainers.sortedset
import time:       625 |        625 |                     sortedcontainers.sorteddict
import time:       476 |       2548 |                   sortedcontainers
import time:       293 |        293 |                       outcome._util
import time:      1228 |       1520 |                     outcome._impl
import time:       362 |        362 |                     outcome._version
import time:       323 |       2204 |                   outcome
import time:       431 |        431 |                     trio._core._wakeup_socketpair
import time:      1275 |       1705 |                   trio._core._entry_queue
import time:       942 |        942 |                   trio._core._traps
import time:       570 |        570 |                   trio._core._asyncgens
import time:       427 |        427 |                   trio._core._thread_cache
import time:      1182 |       1182 |                     trio._abc
import time:       348 |       1529 |                   trio._core._instrumentation
import time:      1068 |       1068 |                   trio._core._io_kqueue
import time:       348 |        348 |                   trio._core._generated_io_kqueue
import time:       338 |        338 |                   trio._core._generated_run
import time:      1063 |       1063 |                   trio._core._generated_instrumentation
import time:      3489 |      16228 |                 trio._core._run
import time:       780 |        780 |                 trio._core._parking_lot
import time:       773 |        773 |                   trio._deprecate
import time:       825 |       1597 |                 trio._core._unbounded_queue
import time:       571 |        571 |                 trio._core._local
import time:       248 |        248 |                 trio._core._mock_clock
import time:       484 |      51593 |               trio._core
import time:       228 |        228 |               trio._timeouts
import time:      1539 |       1539 |               trio._sync
import time:       337 |        337 |                 trio.abc
import time:       607 |        944 |               trio._highlevel_generic
import time:      1342 |       1342 |               trio._channel
import time:       330 |        330 |               trio._signals
import time:       584 |        584 |                   trio._socket
import time:       666 |       1249 |                 trio.socket
import time:       463 |       1712 |               trio._highlevel_socket
import time:       782 |        782 |               trio._file_io
import time:       559 |        559 |               trio._path
import time:       718 |        718 |                   trio._subprocess_platform.kqueue
import time:      1887 |       2605 |                 trio._subprocess_platform
import time:       540 |       3144 |               trio._subprocess
import time:      2488 |       2488 |               trio._ssl
import time:       333 |        333 |               trio._highlevel_serve_listeners
import time:       391 |        391 |               trio._highlevel_open_tcp_stream
import time:       234 |        234 |               trio._highlevel_open_tcp_listeners
import time:       332 |        332 |               trio._highlevel_open_unix_stream
import time:       231 |        231 |               trio._highlevel_ssl_helpers
import time:       403 |        403 |                 trio._unix_pipes
import time:       334 |        737 |               trio.lowlevel
import time:       572 |        572 |                 trio._threads
import time:       236 |        807 |               trio.from_thread
import time:       364 |        364 |               trio.to_thread
import time:     10218 |      79025 |             trio
import time:       494 |      79519 |           httpcore._synchronization
import time:       612 |        612 |           httpcore._trace
import time:      1976 |       1976 |                   h11._abnf
import time:       862 |        862 |                     h11._util
import time:       574 |       1436 |                   h11._headers
import time:      2554 |       5965 |                 h11._events
import time:       348 |        348 |                   h11._receivebuffer
import time:       587 |        587 |                   h11._state
import time:      1158 |       2092 |                 h11._readers
import time:       372 |        372 |                 h11._writers
import time:       734 |       9161 |               h11._connection
import time:       321 |        321 |               h11._version
import time:       388 |       9870 |             h11
import time:       364 |        364 |             httpcore._sync.interfaces
import time:       746 |      10979 |           httpcore._sync.http11
import time:       684 |      97047 |         httpcore._sync.connection
import time:       477 |        477 |         httpcore._sync.connection_pool
import time:       481 |        481 |         httpcore._sync.http_proxy
import time:        41 |         41 |             h2
import time:        15 |         56 |           h2.config
import time:       393 |        449 |         httpcore._sync.http2
import time:        35 |         35 |           socksio
import time:       411 |        445 |         httpcore._sync.socks_proxy
import time:       382 |      99279 |       httpcore._sync
import time:        14 |      99293 |     httpcore._sync.connection_pool
import time:       605 |     100474 |   httpcore._api
import time:       348 |        348 |       httpcore._backends.auto
import time:       401 |        401 |         httpcore._async.interfaces
import time:       521 |        922 |       httpcore._async.http11
import time:       691 |       1960 |     httpcore._async.connection
import time:       577 |        577 |     httpcore._async.connection_pool
import time:       587 |        587 |     httpcore._async.http_proxy
import time:        40 |         40 |         h2
import time:        15 |         54 |       h2.config
import time:       488 |        542 |     httpcore._async.http2
import time:        34 |         34 |       socksio
import time:       277 |        310 |     httpcore._async.socks_proxy
import time:       396 |       4370 |   httpcore._async
import time:       360 |        360 |   httpcore._backends.mock
import time:       379 |        379 |   httpcore._backends.anyio
import time:       392 |        392 |   httpcore._backends.trio
import time:       626 |     106598 | httpcore
import time:       102 |        102 |     google
import time:        10 |        112 |   google.appengine
import time:        11 |        122 | google.appengine.api
import time:       874 |        874 |     urllib3.exceptions
import time:       508 |        508 |             urllib3.util.timeout
import time:       467 |        975 |           urllib3.util.connection
import time:       224 |        224 |             urllib3.util.util
import time:        44 |         44 |             brotlicffi
import time:        30 |         30 |             brotli
import time:        28 |         28 |             zstandard
import time:       606 |        931 |           urllib3.util.request
import time:       316 |        316 |           urllib3.util.response
import time:       570 |        570 |           urllib3.util.retry
import time:      3490 |       3490 |             urllib3.util.url
import time:       426 |        426 |             urllib3.util.ssltransport
import time:       353 |       4268 |           urllib3.util.ssl_
import time:       299 |        299 |           urllib3.util.wait
import time:       263 |       7620 |         urllib3.util
import time:        19 |       7638 |       urllib3.util.connection
import time:       539 |       8176 |     urllib3._base_connection
import time:      2342 |       2342 |     urllib3._collections
import time:       565 |        565 |     urllib3._version
import time:       279 |        279 |           urllib3.fields
import time:       391 |        669 |         urllib3.filepost
import time:        46 |         46 |           brotlicffi
import time:        30 |         30 |           brotli
import time:        28 |         28 |           zstandard
import time:        38 |         38 |                   _csv
import time:       833 |        871 |                 csv
import time:       372 |        372 |                     zipfile._path.glob
import time:       510 |        881 |                   zipfile._path
import time:       742 |       1623 |                 zipfile
import time:       209 |        209 |                     importlib.metadata._functools
import time:       269 |        477 |                   importlib.metadata._text
import time:       451 |        928 |                 importlib.metadata._adapters
import time:       360 |        360 |                 importlib.metadata._meta
import time:       322 |        322 |                 importlib.metadata._collections
import time:       194 |        194 |                 importlib.metadata._itertools
import time:       375 |        375 |                 importlib.abc
import time:       933 |       5602 |               importlib.metadata
import time:       238 |       5839 |             urllib3.http2
import time:       417 |        417 |             urllib3.http2.probe
import time:       859 |        859 |             urllib3.util.ssl_match_hostname
import time:       775 |       7888 |           urllib3.connection
import time:       551 |       8541 |         urllib3.response
import time:       380 |       9589 |       urllib3._request_methods
import time:       232 |        232 |       urllib3.util.proxy
import time:       518 |      10338 |     urllib3.connectionpool
import time:       939 |        939 |     urllib3.poolmanager
import time:       908 |      24139 |   urllib3
import time:      1071 |       1071 |           charset_normalizer.constant
import time:       941 |        941 |             charset_normalizer.md__mypyc
import time:        35 |         35 |               _multibytecodec
import time:       332 |        367 |             charset_normalizer.utils
import time:       773 |       2080 |           charset_normalizer.md
import time:       410 |        410 |           charset_normalizer.models
import time:       496 |       4056 |         charset_normalizer.cd
import time:       607 |       4662 |       charset_normalizer.api
import time:       229 |        229 |       charset_normalizer.legacy
import time:       198 |        198 |       charset_normalizer.version
import time:        85 |         85 |       simplejson
import time:       952 |        952 |       http.cookies
import time:       727 |       6852 |     requests.compat
import time:       786 |       7637 |   requests.exceptions
import time:        40 |         40 |   chardet
import time:       563 |        563 |   requests.packages
import time:       219 |        219 |     requests.certs
import time:       576 |        576 |     requests.__version__
import time:       343 |        343 |     requests._internal_utils
import time:       436 |        436 |     requests.cookies
import time:       318 |        318 |     requests.structures
import time:       328 |        328 |         importlib.resources._itertools
import time:       315 |        642 |       importlib.resources.readers
import time:       252 |        894 |     importlib.readers
import time:       569 |       3351 |   requests.utils
import time:       352 |        352 |         requests.auth
import time:       353 |        353 |             stringprep
import time:       394 |        747 |           encodings.idna
import time:       209 |        209 |           requests.hooks
import time:       427 |        427 |           requests.status_codes
import time:       395 |       1777 |         requests.models
import time:       198 |        198 |           urllib3.contrib
import time:        42 |         42 |           socks
import time:       469 |        708 |         urllib3.contrib.socks
import time:     15594 |      18429 |       requests.adapters
import time:       367 |      18796 |     requests.sessions
import time:       229 |      19024 |   requests.api
import time:       318 |      55069 | requests
import time:       343 |        343 |       xml
import time:       668 |       1010 |     xml.parsers
import time:       134 |        134 |     pyexpat
import time:       708 |       1852 |   xml.parsers.expat
import time:      2531 |       4382 | plistlib
import time:       543 |        543 | netrc
Traceback (most recent call last):
  File "/Users/xavdid/stripe/stripe-python/main.py", line 5, in <module>
    customers = client.customers.list()
                ^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/xavdid/stripe/stripe-python/stripe/_customer_service.py", line 880, in list
    self._request(
  File "/Users/xavdid/stripe/stripe-python/stripe/_stripe_service.py", line 30, in _request
    return self._requestor.request(
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/xavdid/stripe/stripe-python/stripe/_api_requestor.py", line 197, in request
    resp = requestor._interpret_response(rbody, rcode, rheaders, api_mode)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/xavdid/stripe/stripe-python/stripe/_api_requestor.py", line 853, in _interpret_response
    self.handle_error_response(
  File "/Users/xavdid/stripe/stripe-python/stripe/_api_requestor.py", line 336, in handle_error_response
    raise err
stripe._error.AuthenticationError: Invalid API Key provided: sk_test_123
import time:        97 |         97 | gc
