import time: self [us] | cumulative | imported package
import time:       579 |       1566 |         asyncio.unix_events
import time:       284 |      16791 |       asyncio
import time:       454 |        454 |         http
import time:       436 |        436 |             email.errors
import time:       309 |        309 |                 email.quoprimime
import time:       252 |        252 |                 email.base64mime
import time:       263 |        263 |                     quopri
import time:       295 |        557 |                   email.encoders
import time:       288 |        845 |                 email.charset
import time:       556 |       1960 |               email.header
import time:       322 |        322 |                 email._parseaddr
import time:       460 |        781 |               email.utils
import time:       343 |       3083 |             email._policybase
import time:       454 |       3972 |           email.feedparser
import time:       523 |       4494 |         email.parser
import time:       330 |        330 |           email._encoded_words
import time:       310 |        310 |           email.iterators
import time:       448 |       1086 |         email.message
import time:       892 |       6925 |       http.client
import time:       254 |        254 |       stripe._request_metrics
import time:      1012 |      25188 |     stripe._http_client
import time:       474 |        474 |     stripe._app_info
import time:       493 |      42678 |   stripe._api_requestor
import time:       208 |        208 |   stripe.app_info
import time:       531 |        531 |   stripe._oauth
import time:       188 |        188 |     stripe._stripe_service
import time:       175 |        175 |     stripe._client_options
import time:       242 |        605 |   stripe._oauth_service
import time:       238 |        238 |         stripe._any_iterator
import time:       255 |        493 |       stripe._list_object
import time:       315 |        315 |         stripe._api_resource
import time:       206 |        520 |       stripe._listable_api_resource
import time:       544 |       1557 |     stripe._event
import time:       212 |       1768 |   stripe._webhook
import time:       359 |        359 |         stripe.v2._list_object
import time:       219 |        219 |         stripe.v2._amount
import time:       338 |        338 |           stripe.v2.billing._meter_event
import time:       213 |        213 |           stripe.v2.billing._meter_event_adjustment
import time:       275 |        275 |           stripe.v2.billing._meter_event_adjustment_service
import time:       202 |        202 |           stripe.v2.billing._meter_event_service
import time:       203 |        203 |           stripe.v2.billing._meter_event_session
import time:       186 |        186 |           stripe.v2.billing._meter_event_session_service
import time:       214 |        214 |           stripe.v2.billing._meter_event_stream_service
import time:       219 |       1846 |         stripe.v2.billing
import time:       273 |        273 |             stripe.v2._event
import time:       304 |        304 |             stripe.v2._event_destination
import time:       595 |       1171 |           stripe.v2.core._event_destination_service
import time:       213 |        213 |           stripe.v2.core._event_service
import time:       180 |       1564 |         stripe.v2.core
import time:       174 |        174 |         stripe.v2._billing_service
import time:       227 |        227 |         stripe.v2._core_service
import time:       232 |       4617 |       stripe.v2
import time:        12 |       4629 |     stripe.v2._event
import time:       242 |        242 |         stripe._createable_api_resource
import time:       191 |        191 |         stripe._deletable_api_resource
import time:       168 |        168 |         stripe._expandable_field
import time:       179 |        179 |         stripe._nested_resource_class_methods
import time:       190 |        190 |           stripe._updateable_api_resource
import time:       725 |        915 |         stripe._person
import time:      6108 |       7801 |       stripe._account
import time:       403 |        403 |         stripe._capability
import time:       279 |        682 |       stripe._account_capability_service
import time:       299 |        299 |             stripe._search_result_object
import time:       228 |        228 |             stripe._searchable_api_resource
import time:       235 |        235 |             stripe._test_helpers
import time:      2412 |       3172 |           stripe._customer
import time:       211 |        211 |           stripe._verify_mixin
import time:       443 |       3825 |         stripe._bank_account
import time:       385 |        385 |         stripe._card
import time:       491 |       4700 |       stripe._account_external_account_service
import time:       221 |        221 |         stripe._login_link
import time:       912 |       1133 |       stripe._account_login_link_service
import time:      1359 |       1359 |       stripe._account_person_service
import time:      5827 |      21499 |     stripe._account_service
import time:       309 |        309 |       stripe._account_link
import time:       317 |        625 |     stripe._account_link_service
import time:      1213 |       1213 |       stripe._account_session
import time:       960 |       2173 |     stripe._account_session_service
import time:       446 |        446 |       stripe._apple_pay_domain
import time:       322 |        767 |     stripe._apple_pay_domain_service
import time:       649 |        649 |       stripe._application_fee
import time:       331 |        331 |         stripe._application_fee_refund
import time:       340 |        670 |       stripe._application_fee_refund_service
import time:       329 |       1647 |     stripe._application_fee_service
import time:       869 |        869 |           stripe.apps._secret
import time:       410 |        410 |           stripe.apps._secret_service
import time:       264 |       1542 |         stripe.apps
import time:        14 |       1555 |       stripe.apps._secret_service
import time:       247 |       1802 |     stripe._apps_service
import time:       255 |        255 |         stripe._singleton_api_resource
import time:       526 |        780 |       stripe._balance
import time:       262 |       1041 |     stripe._balance_service
import time:       608 |        608 |       stripe._balance_transaction
import time:       339 |        946 |     stripe._balance_transaction_service
import time:       895 |        895 |           stripe.billing._alert
import time:       457 |        457 |           stripe.billing._alert_service
import time:       268 |        268 |           stripe.billing._alert_triggered
import time:       453 |        453 |           stripe.billing._credit_balance_summary
import time:       331 |        331 |           stripe.billing._credit_balance_summary_service
import time:       485 |        485 |           stripe.billing._credit_balance_transaction
import time:       292 |        292 |           stripe.billing._credit_balance_transaction_service
import time:       686 |        686 |           stripe.billing._credit_grant
import time:       580 |        580 |           stripe.billing._credit_grant_service
import time:       691 |        691 |           stripe.billing._meter
import time:       309 |        309 |           stripe.billing._meter_event
import time:       337 |        337 |           stripe.billing._meter_event_adjustment
import time:       299 |        299 |           stripe.billing._meter_event_adjustment_service
import time:       322 |        322 |           stripe.billing._meter_event_service
import time:       281 |        281 |           stripe.billing._meter_event_summary
import time:       317 |        317 |           stripe.billing._meter_event_summary_service
import time:       495 |        495 |           stripe.billing._meter_service
import time:       313 |       7801 |         stripe.billing
import time:        14 |       7815 |       stripe.billing._alert_service
import time:       249 |       8064 |     stripe._billing_service
import time:      1688 |       1688 |           stripe.billing_portal._configuration
